"scenario","n","estimator","parameter","truth","bias","sd_emp","mse","n_succ"
"III_poisson_multi_K4",5000,"bca","gamma2",-0.9,0.470438453804115,0.0119357771643635,0.221450052834906,30
"III_poisson_multi_K4",5000,"bca","gamma3",0.2,0.0728580560580063,0.00884993725815788,0.00538400700904248,30
"III_poisson_multi_K4",5000,"bca","alpha0",0.8,-0.00624813385556156,0.00198725984319654,4.28567383052502e-05,30
"III_poisson_multi_K4",5000,"bca","alpha1",-0.7,0.0118103832039554,0.00062555681822161,0.000139863428712668,30
"III_poisson_multi_K4",5000,"bcm","gamma1",1,0.0305147335104932,0.0112315265337803,0.00105309124321946,30
"III_poisson_multi_K4",5000,"bcm","gamma2",-0.9,0.333943507195446,0.00814626705655922,0.111582415609387,30
"III_poisson_multi_K4",5000,"bcm","gamma3",0.2,0.106471307944942,0.0253825804415366,0.0119589389590487,30
"III_poisson_multi_K4",5000,"bcm","alpha0",0.8,-0.0181092417947361,0.00257594473378825,0.00033435894660936,30
"III_poisson_multi_K4",5000,"bcm","alpha1",-0.7,0.0128418567333838,0.000632775773192189,0.00016530034270059,30
"III_poisson_multi_K4",5000,"cs","gamma1",1,0.0247322250747652,0.0100798802869294,0.000709900144194384,30
"III_poisson_multi_K4",5000,"cs","gamma2",-0.9,0.223215547086947,0.022080250436909,0.0502964666720366,30
"III_poisson_multi_K4",5000,"cs","gamma3",0.2,0.108304870053216,0.0265608409103599,0.0124119072047805,30
"III_poisson_multi_K4",5000,"cs","alpha0",0.8,-0.0209725418670362,0.00287362619943196,0.000447829982314181,30
"III_poisson_multi_K4",5000,"cs","alpha1",-0.7,0.0128394221616311,0.000646318756648269,0.000165254565115274,30
"III_poisson_multi_K4",5000,"onestep","gamma1",1,0.0228000075522297,0.0068652735703128,0.000565401259537123,30
"III_poisson_multi_K4",5000,"onestep","gamma2",-0.9,0.0521528242558664,0.00965598911463377,0.00281004726611916,30
"III_poisson_multi_K4",5000,"onestep","gamma3",0.2,0.050339589175491,0.019857561082774,0.00291525287944144,30
"III_poisson_multi_K4",5000,"onestep","alpha0",0.8,-0.00986297670612135,0.000997157537625053,9.82394885551724e-05,30
"III_poisson_multi_K4",5000,"onestep","alpha1",-0.7,0.0046772494799292,0.00189311182650634,2.53410726722346e-05,30
"III_poisson_multi_K4",5000,"simex_std","gamma1",1,0.300396808868791,0.0611926640258804,0.0938579668381179,30
"III_poisson_multi_K4",5000,"simex_std","gamma2",-0.9,0.356762080257471,0.0104476614930275,0.127384697085955,30
"III_poisson_multi_K4",5000,"simex_std","gamma3",0.2,-0.0490107326902521,0.013707465792342,0.0025836833833353,30
"III_poisson_multi_K4",5000,"simex_std","alpha0",0.8,0.0986805789602587,0.0259481110320021,0.0103887176478567,30
"III_poisson_multi_K4",5000,"simex_std","alpha1",-0.7,0.0214143760488497,0.000376430570327301,0.000458712478203349,30
"III_poisson_multi_K4",5000,"simex_imp","gamma1",1,-0.0570425262402937,NA,0.0032538497998746,1
"III_poisson_multi_K4",5000,"simex_imp","gamma2",-0.9,0.393664228157748,NA,0.154971524531036,1
"III_poisson_multi_K4",5000,"simex_imp","gamma3",0.2,-0.0889720777098513,NA,0.00791603061200782,1
"III_poisson_multi_K4",5000,"simex_imp","alpha0",0.8,0.0516712889432038,NA,0.00266992210105206,1
"III_poisson_multi_K4",5000,"simex_imp","alpha1",-0.7,0.00294252392004068,NA,8.6584470200116e-06,1
